1000_G.pthheat: 0.0000, Adjust_PSNR: 21.4671, Adjust_LPIPS: 0.4220, Adjust_SSIM: 0.7272, PSNR: 18.1524, LPIPS: 0.4284, SSIM: 0.7138
2000_G.pthheat: 0.0000, Adjust_PSNR: 22.5453, Adjust_LPIPS: 0.3272, Adjust_SSIM: 0.7625, PSNR: 19.2082, LPIPS: 0.3314, SSIM: 0.7509
3000_G.pthheat: 0.0000, Adjust_PSNR: 23.3808, Adjust_LPIPS: 0.2691, Adjust_SSIM: 0.7857, PSNR: 19.9978, LPIPS: 0.2695, SSIM: 0.7772
4000_G.pthheat: 0.0000, Adjust_PSNR: 23.3427, Adjust_LPIPS: 0.2502, Adjust_SSIM: 0.7990, PSNR: 20.1095, LPIPS: 0.2516, SSIM: 0.7868
5000_G.pthheat: 0.0000, Adjust_PSNR: 23.5283, Adjust_LPIPS: 0.2512, Adjust_SSIM: 0.8007, PSNR: 19.8571, LPIPS: 0.2554, SSIM: 0.7891
6000_G.pthheat: 0.0000, Adjust_PSNR: 22.9926, Adjust_LPIPS: 0.2458, Adjust_SSIM: 0.7961, PSNR: 19.2932, LPIPS: 0.2526, SSIM: 0.7834
7000_G.pthheat: 0.0000, Adjust_PSNR: 24.2814, Adjust_LPIPS: 0.2107, Adjust_SSIM: 0.8248, PSNR: 19.8872, LPIPS: 0.2219, SSIM: 0.8073
8000_G.pthheat: 0.0000, Adjust_PSNR: 23.2108, Adjust_LPIPS: 0.2489, Adjust_SSIM: 0.7904, PSNR: 20.1941, LPIPS: 0.2469, SSIM: 0.7826
9000_G.pthheat: 0.0000, Adjust_PSNR: 24.7929, Adjust_LPIPS: 0.1956, Adjust_SSIM: 0.8265, PSNR: 21.7988, LPIPS: 0.1984, SSIM: 0.8176
10000_G.pthheat: 0.0000, Adjust_PSNR: 24.5305, Adjust_LPIPS: 0.1855, Adjust_SSIM: 0.8297, PSNR: 21.4741, LPIPS: 0.1890, SSIM: 0.8201
11000_G.pthheat: 0.0000, Adjust_PSNR: 24.3401, Adjust_LPIPS: 0.1851, Adjust_SSIM: 0.8246, PSNR: 20.5014, LPIPS: 0.1853, SSIM: 0.8096
12000_G.pthheat: 0.0000, Adjust_PSNR: 25.4389, Adjust_LPIPS: 0.1584, Adjust_SSIM: 0.8449, PSNR: 22.4116, LPIPS: 0.1619, SSIM: 0.8352
13000_G.pthheat: 0.0000, Adjust_PSNR: 24.7528, Adjust_LPIPS: 0.1723, Adjust_SSIM: 0.8387, PSNR: 21.6624, LPIPS: 0.1773, SSIM: 0.8293
14000_G.pthheat: 0.0000, Adjust_PSNR: 25.3946, Adjust_LPIPS: 0.1518, Adjust_SSIM: 0.8354, PSNR: 22.8681, LPIPS: 0.1519, SSIM: 0.8259
15000_G.pthheat: 0.0000, Adjust_PSNR: 25.2259, Adjust_LPIPS: 0.1608, Adjust_SSIM: 0.8411, PSNR: 21.5326, LPIPS: 0.1661, SSIM: 0.8295
16000_G.pthheat: 0.0000, Adjust_PSNR: 25.3713, Adjust_LPIPS: 0.1541, Adjust_SSIM: 0.8384, PSNR: 22.5749, LPIPS: 0.1561, SSIM: 0.8296
17000_G.pthheat: 0.0000, Adjust_PSNR: 25.4857, Adjust_LPIPS: 0.1611, Adjust_SSIM: 0.8367, PSNR: 22.1466, LPIPS: 0.1639, SSIM: 0.8243
