train_stage3_LOL PSNR: 26.1090, SSIM: 0.8425, 1_PSNR: 25.9230, 1_SSIM: 0.8412, LPIPS: 0.1431
train_stage3_LOL PSNR: 26.6571, SSIM: 0.8477, 1_PSNR: 26.5179, 1_SSIM: 0.8468, LPIPS: 0.1164
train_stage3_LOL PSNR: 26.2253, SSIM: 0.8405, 1_PSNR: 26.0794, 1_SSIM: 0.8401, LPIPS: 0.1457
train_stage3_LOL PSNR: 26.3741, SSIM: 0.8416, 1_PSNR: 26.2014, 1_SSIM: 0.8414, LPIPS: 0.1243
train_stage3_LOL PSNR: 26.8660, SSIM: 0.8581, 1_PSNR: 26.6564, 1_SSIM: 0.8572, LPIPS: 0.1155
train_stage3_LOL PSNR: 26.4570, SSIM: 0.8555, 1_PSNR: 26.3590, 1_SSIM: 0.8555, LPIPS: 0.1174
train_stage3_LOL PSNR: 26.7539, SSIM: 0.8523, 1_PSNR: 26.4999, 1_SSIM: 0.8520, LPIPS: 0.1218
train_stage3_LOL PSNR: 26.9332, SSIM: 0.8566, 1_PSNR: 26.7813, 1_SSIM: 0.8566, LPIPS: 0.1120
train_stage3_LOL PSNR: 26.0947, SSIM: 0.8514, 1_PSNR: 26.1253, 1_SSIM: 0.8518, LPIPS: 0.1311
train_stage3_LOL PSNR: 26.7900, SSIM: 0.8613, 1_PSNR: 26.7162, 1_SSIM: 0.8609, LPIPS: 0.1141
train_stage3_LOL PSNR: 26.9208, SSIM: 0.8642, 1_PSNR: 26.7117, 1_SSIM: 0.8631, LPIPS: 0.1017
train_stage3_LOL PSNR: 27.0479, SSIM: 0.8667, 1_PSNR: 26.8268, 1_SSIM: 0.8656, LPIPS: 0.1095
train_stage3_LOL PSNR: 26.5722, SSIM: 0.8622, 1_PSNR: 26.3984, 1_SSIM: 0.8614, LPIPS: 0.1108
train_stage3_LOL PSNR: 26.4056, SSIM: 0.8704, 1_PSNR: 26.3693, 1_SSIM: 0.8691, LPIPS: 0.1007
train_stage3_LOL PSNR: 26.6854, SSIM: 0.8646, 1_PSNR: 26.6583, 1_SSIM: 0.8640, LPIPS: 0.0940
train_stage3_LOL PSNR: 27.0163, SSIM: 0.8687, 1_PSNR: 26.8723, 1_SSIM: 0.8680, LPIPS: 0.0984
train_stage3_LOL PSNR: 27.2120, SSIM: 0.8668, 1_PSNR: 26.9765, 1_SSIM: 0.8661, LPIPS: 0.0989
train_stage3_LOL PSNR: 27.1588, SSIM: 0.8682, 1_PSNR: 27.0065, 1_SSIM: 0.8673, LPIPS: 0.0896
train_stage3_LOL PSNR: 27.0253, SSIM: 0.8676, 1_PSNR: 26.7947, 1_SSIM: 0.8667, LPIPS: 0.0903
train_stage3_LOL PSNR: 27.2150, SSIM: 0.8719, 1_PSNR: 26.9643, 1_SSIM: 0.8712, LPIPS: 0.0869
train_stage3_LOL PSNR: 26.6475, SSIM: 0.8654, 1_PSNR: 26.5159, 1_SSIM: 0.8648, LPIPS: 0.1033
train_stage3_LOL PSNR: 26.6650, SSIM: 0.8690, 1_PSNR: 26.6794, 1_SSIM: 0.8679, LPIPS: 0.0962
train_stage3_LOL PSNR: 27.0824, SSIM: 0.8737, 1_PSNR: 26.9834, 1_SSIM: 0.8729, LPIPS: 0.0937
train_stage3_LOL PSNR: 26.6624, SSIM: 0.8700, 1_PSNR: 26.5638, 1_SSIM: 0.8689, LPIPS: 0.0958
train_stage3_LOL PSNR: 27.2576, SSIM: 0.8722, 1_PSNR: 27.0235, 1_SSIM: 0.8715, LPIPS: 0.0843
train_stage3_LOL PSNR: 27.6602, SSIM: 0.8790, 1_PSNR: 27.4544, 1_SSIM: 0.8779, LPIPS: 0.0798
train_stage3_LOL PSNR: 27.5440, SSIM: 0.8761, 1_PSNR: 27.2864, 1_SSIM: 0.8754, LPIPS: 0.0858
train_stage3_LOL PSNR: 27.2581, SSIM: 0.8745, 1_PSNR: 27.0024, 1_SSIM: 0.8733, LPIPS: 0.0909
train_stage3_LOL PSNR: 27.4739, SSIM: 0.8745, 1_PSNR: 27.2653, 1_SSIM: 0.8734, LPIPS: 0.0811
train_stage3_LOL PSNR: 27.1583, SSIM: 0.8748, 1_PSNR: 27.0256, 1_SSIM: 0.8736, LPIPS: 0.0963
train_stage3_LOL PSNR: 27.3276, SSIM: 0.8724, 1_PSNR: 27.0638, 1_SSIM: 0.8712, LPIPS: 0.0979
train_stage3_LOL PSNR: 27.1109, SSIM: 0.8751, 1_PSNR: 26.9597, 1_SSIM: 0.8744, LPIPS: 0.0901
train_stage3_LOL PSNR: 27.3511, SSIM: 0.8741, 1_PSNR: 27.1087, 1_SSIM: 0.8731, LPIPS: 0.0947
train_stage3_LOL PSNR: 27.4342, SSIM: 0.8782, 1_PSNR: 27.2309, 1_SSIM: 0.8770, LPIPS: 0.0915
train_stage3_LOL PSNR: 27.1947, SSIM: 0.8727, 1_PSNR: 27.0751, 1_SSIM: 0.8717, LPIPS: 0.0968
train_stage3_LOL PSNR: 27.6162, SSIM: 0.8774, 1_PSNR: 27.3514, 1_SSIM: 0.8761, LPIPS: 0.0909
train_stage3_LOL PSNR: 27.3829, SSIM: 0.8767, 1_PSNR: 27.1418, 1_SSIM: 0.8757, LPIPS: 0.0898
train_stage3_LOL PSNR: 27.4327, SSIM: 0.8770, 1_PSNR: 27.2039, 1_SSIM: 0.8758, LPIPS: 0.0854
train_stage3_LOL PSNR: 27.2995, SSIM: 0.8772, 1_PSNR: 27.1298, 1_SSIM: 0.8762, LPIPS: 0.0852
